Abramów,179,3
Adamów,360,3
Adamów,342,3
Adamówka,251,8
Aleksandrów,74,3
Aleksandrów,238,14
Aleksandrów Kujawski,62,2
Aleksandrów Łódzki,345,14
Alwernia,92,6
Andrespol,361,14
Andrychów,317,6
Andrzejewo,225,5
Annopol,158,3
Augustów,63,9
Babiak,147,12
Babice,92,6
Babimost,347,4
Baborów,126,7
Baboszewo,259,5
Bakałarzewo,295,9
Baligród,171,8
Banie,122,13
Banie Mazurskie,116,11
Baranowo,227,5
Baranów,165,12
Baranów,119,5
Baranów,255,3
Baranów Sandomierski,306,8
Barciany,166,11
Barcin,377,2
Barczewo,219,11
Bardo,349,1
Bargłów Kościelny,63,9
Barlinek,200,13
Bartniczka,78,2
Bartoszyce,64,11
Baruchowo,338,2
Barwice,297,13
Batorz,131,3
Baćkowice,220,16
Bałtów,224,16
Bedlno,162,14
Bejsce,142,16
Belsk Duży,123,5
Besko,273,8
Bestwina,71,15
Bełchatów,65,14
Bełżec,312,3
Bełżyce,181,3
Biała,323,14
Biała,247,7
Biała Piska,239,11
Biała Podlaska,66,3
Biała Podlaska,1,3
Biała Rawska,266,14
Białaczów,221,14
Białe Błota,84,2
Białobrzegi,355,8
Białobrzegi,67,5
Białogard,68,13
Białopole,88,3
Białowieża,127,9
Białośliwie,237,12
Biały Bór,297,13
Biały Dunajec,309,6
Białystok,2,9
Biecz,112,6
Bielany,282,5
Bielawa,100,1
Bielawy,359,14
Bielice,257,13
Bieliny,143,16
Bielsk,258,5
Bielsk Podlaski,70,9
Bielsko-Biała,3,15
Bierawa,164,7
Bierutów,217,1
Bieruń,72,15
Bierzwnik,91,13
Biesiekierz,150,13
Bieżuń,378,5
Bircza,250,8
Biskupice,322,6
Biskupiec,208,11
Biskupiec,219,11
Biszcza,74,3
Bisztynek,64,11
Biłgoraj,74,3
Blachownia,96,15
Bledzew,193,4
Blizanów,137,12
Bliżyn,279,16
Bobolice,150,13
Bobowa,112,6
Bobowo,287,10
Bobrowice,161,4
Bobrowniki,86,15
Bobrowniki,176,2
Bobrowo,78,2
Bochnia,75,6
Bodzanów,258,5
Bodzechów,224,16
Bodzentyn,143,16
Bogatynia,346,1
Bogdaniec,113,4
Bogoria,288,16
Boguchwała,271,8
Boguszów-Gorce,319,1
Boguty-Pianki,225,5
Bojadła,347,4
Bojanowo,265,12
Bojanów,284,8
Bojszowy,72,15
Boleszkowice,200,13
Bolesław,218,6
Bolesław,101,6
Bolesławiec,324,14
Bolesławiec,76,1
Bolimów,280,14
Bolków,135,1
Boniewo,338,2
Borek Wielkopolski,115,12
Borki,264,3
Borkowice,252,5
Borne Sulinowo,297,13
Boronów,183,15
Borowa,189,8
Borowie,105,5
Borzechów,181,3
Borzytuchom,85,10
Borzęcin,80,6
Borów,291,1
Boćki,70,9
Bralin,165,12
Branice,126,7
Braniewo,77,11
Brańsk,70,9
Brańszczyk,333,5
Brenna,94,15
Brochów,281,5
Brodnica,368,12
Brodnica,78,2
Brody,376,4
Brody,285,16
Brojce,121,13
Brok,225,5
Brudzew,316,12
Brudzeń Duży,258,5
Brusy,90,10
Brwinów,248,5
Brzeg,79,7
Brzeg Dolny,328,1
Brzesko,80,6
Brzeszcze,232,6
Brzeziny,81,14
Brzeziny,137,12
Brześć Kujawski,338,2
Brzeźnica,375,4
Brzeźnica,317,6
Brzeźnio,277,14
Brzeżno,371,13
Brzostek,102,8
Brzozie,78,2
Brzozów,82,8
Brzuze,270,2
Brzyska,134,8
Brójce,361,14
Brąszewice,277,14
Buczek,354,14
Buczkowice,71,15
Budry,336,11
Budziszewice,311,14
Budzyń,89,12
Budzów,294,6
Buk,245,12
Bukowiec,373,2
