Biała Podlaska,3
Białystok,9
Bielsko-Biała,15
Bydgoszcz,2
Bytom,15
Chełm,3
Chorzów,15
Częstochowa,15
Dąbrowa Górnicza,15
Elbląg,11
Gdańsk,10
Gdynia,10
Gliwice,15
Gorzów Wielkopolski,4
Grudziądz,2
Jastrzębie-Zdrój,15
Jaworzno,15
Jelenia Góra,1
Kalisz,12
Katowice,15
Kielce,16
Konin,12
Koszalin,13
Kraków,6
Krosno,8
Legnica,1
Leszno,12
Lublin,3
Mysłowice,15
Nowy Sącz,6
Olsztyn,11
Opole,7
Ostrołęka,5
Piekary Śląskie,15
Piotrków Trybunalski,14
Poznań,12
Przemyśl,8
Płock,5
Radom,5
Ruda Śląska,15
Rybnik,15
Rzeszów,8
Siedlce,5
Siemianowice Śląskie,15
Skierniewice,14
Sopot,10
Sosnowiec,15
Suwałki,9
Szczecin,13
Słupsk,10
Tarnobrzeg,8
Tarnów,6
Toruń,2
Tychy,15
Warszawa,5
Wałbrzych,1
Wrocław,1
Włocławek,2
Zabrze,15
Zamość,3
Zielona Góra,4
aleksandrowski,2
augustowski,9
bartoszycki,11
bełchatowski,14
bialski,3
białobrzeski,5
białogardzki,13
białostocki,9
bielski,9
bielski,15
bieruńsko-lędziński,15
bieszczadzki,8
biłgorajski,3
bocheński,6
bolesławiecki,1
braniewski,11
brodnicki,2
brzeski,7
brzeski,6
brzeziński,14
brzozowski,8
buski,16
bydgoski,2
bytowski,10
będziński,15
chełmiński,2
chełmski,3
chodzieski,12
chojnicki,10
choszczeński,13
chrzanowski,6
ciechanowski,5
cieszyński,15
czarnkowsko-trzcianecki,12
częstochowski,15
człuchowski,10
drawski,13
działdowski,11
dzierżoniowski,1
dąbrowski,6
dębicki,8
elbląski,11
ełcki,11
garwoliński,5
gdański,10
giżycki,11
gliwicki,15
gnieźnieński,12
goleniowski,13
golubsko-dobrzyński,2
gorlicki,6
gorzowski,4
gostyniński,5
gostyński,12
gołdapski,11
grajewski,9
grodziski,12
grodziski,5
grudziądzki,2
gryficki,13
gryfiński,13
grójecki,5
górowski,1
głogowski,1
głubczycki,7
hajnowski,9
hrubieszowski,3
inowrocławski,2
iławski,11
janowski,3
jarociński,12
jarosławski,8
jasielski,8
jaworski,1
jędrzejowski,16
kaliski,12
kamiennogórski,1
kamieński,13
karkonoski,1
kartuski,10
kazimierski,16
kielecki,16
kluczborski,7
kolbuszowski,8
kolneński,9
kolski,12
konecki,16
koniński,12
koszaliński,13
kozienicki,5
kołobrzeski,13
kościański,12
kościerski,10
krakowski,6
krapkowicki,7
krasnostawski,3
kraśnicki,3
krotoszyński,12
krośnieński,8
krośnieński,4
kutnowski,14
kwidzyński,10
kędzierzyńsko-kozielski,7
kępiński,12
kętrzyński,11
kłobucki,15
kłodzki,1
